,,Training set for….,,,,,,,,,,,,,Questions we can ask:
Cumul frames,Method,Real ALC,Eff ALC,CASE,Good/bad,phase,T,rho,Total frames,first frame,last frame,Data source,Data path,SP,
350,Mio,2,2,1,Good,graphite,3000,2.67,20,330,349,,,15,
370,Mio,2,2,2,Good,liquid,1000,0.5,20,350,369,,,16,
372,Mio,2,2,2,Bad,liquid,1000,0.5,2,370,371,,,17,
392,Mio,2,2,3,Good,liquid,2000,1,20,372,391,,,18,
412,Mio,2,2,4,Good,liquid,6000,2,20,392,411,,,19,
426,Mio,2,2,4,Bad,liquid,6000,2,14,412,425,,,20,
446,Mio,2,2,5,Good,liquid,6000,3.6,20,426,445,,,21,
450,Mio,2,2,5,Bad,liquid,6000,3.6,4,446,449,,,22,
470,Mio,2,2,6,Good,liquid,8000,3,20,450,469,,,23,
472,Mio,2,2,6,Bad,liquid,8000,3,2,470,471,,,24,
492,Mio,3,3,0,Good,diamond,3000,3.67,20,472,491,,,25,
512,Mio,3,3,1,Good,graphite,3000,2.67,20,492,511,,,26,
532,Mio,3,3,2,Good,liquid,1000,0.5,20,512,531,,,27,
552,Mio,3,3,3,Good,liquid,2000,1,20,532,551,,,28,
572,Mio,3,3,4,Good,liquid,6000,2,20,552,571,,,29,
592,Mio,3,3,5,Good,liquid,6000,3.6,20,572,591,,,30,
612,Mio,3,3,6,Good,liquid,8000,3,20,592,611,,,31,
632,Mio,3,3,6,Bad,liquid,8000,3,20,612,631,,,32,
652,Mio,4,4,0,Good,diamond,3000,3.67,20,632,651,,,33,
672,Mio,4,4,1,Good,graphite,3000,2.67,20,652,671,,,34,
692,Mio,4,4,2,Good,liquid,1000,0.5,20,672,691,,,35,
712,Mio,4,4,3,Good,liquid,2000,1,20,692,711,,,36,
732,Mio,4,4,4,Good,liquid,6000,2,20,712,731,,,37,
752,Mio,4,4,5,Good,liquid,6000,3.6,20,732,751,,,38,
772,Mio,4,4,6,Good,liquid,8000,3,20,752,771,,,39,
792,Mio,5,5,0,Good,diamond,3000,3.67,20,772,791,,,40,
812,Mio,5,5,1,Good,graphite,3000,2.67,20,792,811,,,41,
832,Mio,5,5,2,Good,liquid,1000,0.5,20,812,831,,,42,
852,Mio,5,5,3,Good,liquid,2000,1,20,832,851,,,43,
872,Mio,5,5,4,Good,liquid,6000,2,20,852,871,,,44,
892,Mio,5,5,5,Good,liquid,6000,3.6,20,872,891,,,45,
912,Mio,5,5,6,Good,liquid,8000,3,20,892,911,,,46,
916,Mio,5,5,6,Bad,liquid,8000,3,4,912,915,,,47,
936,PBE,1,6,0,Good,diamond,3000,3.67,20,916,935,,,48,
956,PBE,1,7,1,Good,graphite,3000,2.67,20,936,955,,,49,
976,PBE,1,8,2,Good,liquid,1000,0.5,20,956,975,,,50,
996,PBE,1,9,3,Good,liquid,2000,1,20,976,995,,,51,
1016,PBE,1,10,4,Good,liquid,6000,2,20,996,1015,,,52,
1036,PBE,1,11,4,Bad,liquid,6000,2,20,1016,1035,,,53,
1056,PBE,1,12,5,Good,liquid,6000,3.6,20,1036,1055,,,54,
1076,PBE,1,13,5,Bad,liquid,6000,3.6,20,1056,1075,,,55,
1096,PBE,1,14,6,Good,liquid,8000,3,20,1076,1095,,,56,
1116,PBE,1,15,6,Bad,liquid,8000,3,20,1096,1115,,,57,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,tasks,64,,,,,,,,,,,,
,,procs,36,,,,,,,,,,,,
,,tasks/proc,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,rank,first,last,,,,,,,,,,,
,,0,0,2,,,,,,,,,,,
,,1,2,4,,,,,,,,,,,
,,2,4,6,,,,,,,,,,,
,,3,6,8,,,,,,,,,,,
,,4,8,10,,,,,,,,,,,
,,5,10,12,,,,,,,,,,,
,,6,12,14,,,,,,,,,,,
,,7,14,16,,,,,,,,,,,
,,8,16,18,,,,,,,,,,,
,,9,18,20,,,,,,,,,,,
,,10,20,22,,,,,,,,,,,
,,11,22,24,,,,,,,,,,,
,,12,24,26,,,,,,,,,,,
,,13,26,28,,,,,,,,,,,
,,14,28,30,,,,,,,,,,,
,,15,30,32,,,,,,,,,,,
,,16,32,34,,,,,,,,,,,
