,,Training set for….,,,,,,,,,,,,,Questions we can ask:
Cumul frames,Method,Real ALC,Eff ALC,CASE,Good/bad,phase,T,rho,Total frames,first frame,last frame,Data source,Data path,,
632,Mio,3,3,6,Bad,liquid,8000,3,20,612,631,,,,
652,Mio,4,4,0,Good,diamond,3000,3.67,20,632,651,,,,
672,Mio,4,4,1,Good,graphite,3000,2.67,20,652,671,,,,
692,Mio,4,4,2,Good,liquid,1000,0.5,20,672,691,,,,
712,Mio,4,4,3,Good,liquid,2000,1,20,692,711,,,,
732,Mio,4,4,4,Good,liquid,6000,2,20,712,731,,,,
752,Mio,4,4,5,Good,liquid,6000,3.6,20,732,751,,,,
772,Mio,4,4,6,Good,liquid,8000,3,20,752,771,,,,
792,Mio,5,5,0,Good,diamond,3000,3.67,20,772,791,,,,
812,Mio,5,5,1,Good,graphite,3000,2.67,20,792,811,,,,
832,Mio,5,5,2,Good,liquid,1000,0.5,20,812,831,,,,
852,Mio,5,5,3,Good,liquid,2000,1,20,832,851,,,,
872,Mio,5,5,4,Good,liquid,6000,2,20,852,871,,,,
892,Mio,5,5,5,Good,liquid,6000,3.6,20,872,891,,,,
912,Mio,5,5,6,Good,liquid,8000,3,20,892,911,,,,
916,Mio,5,5,6,Bad,liquid,8000,3,4,912,915,,,,
936,PBE,1,6,0,Good,diamond,3000,3.67,20,916,935,,,,
956,PBE,1,7,1,Good,graphite,3000,2.67,20,936,955,,,,
976,PBE,1,8,2,Good,liquid,1000,0.5,20,956,975,,,,
996,PBE,1,9,3,Good,liquid,2000,1,20,976,995,,,,
1016,PBE,1,10,4,Good,liquid,6000,2,20,996,1015,,,,
1036,PBE,1,11,4,Bad,liquid,6000,2,20,1016,1035,,,,
1056,PBE,1,12,5,Good,liquid,6000,3.6,20,1036,1055,,,,
1076,PBE,1,13,5,Bad,liquid,6000,3.6,20,1056,1075,,,,
1096,PBE,1,14,6,Good,liquid,8000,3,20,1076,1095,,,,
1116,PBE,1,15,6,Bad,liquid,8000,3,20,1096,1115,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,tasks,64,,,,,,,,,,,,
,,procs,36,,,,,,,,,,,,
,,tasks/proc,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,rank,first,last,,,,,,,,,,,
,,0,0,2,,,,,,,,,,,
,,1,2,4,,,,,,,,,,,
,,2,4,6,,,,,,,,,,,
,,3,6,8,,,,,,,,,,,
,,4,8,10,,,,,,,,,,,
,,5,10,12,,,,,,,,,,,
,,6,12,14,,,,,,,,,,,
,,7,14,16,,,,,,,,,,,
,,8,16,18,,,,,,,,,,,
,,9,18,20,,,,,,,,,,,
,,10,20,22,,,,,,,,,,,
,,11,22,24,,,,,,,,,,,
,,12,24,26,,,,,,,,,,,
,,13,26,28,,,,,,,,,,,
,,14,28,30,,,,,,,,,,,
,,15,30,32,,,,,,,,,,,
,,16,32,34,,,,,,,,,,,
,,17,34,36,,,,,,,,,,,
,,18,36,38,,,,,,,,,,,
,,19,38,40,,,,,,,,,,,
,,20,40,42,,,,,,,,,,,
,,21,42,44,,,,,,,,,,,
,,22,44,46,,,,,,,,,,,
,,23,46,48,,,,,,,,,,,
,,24,48,50,,,,,,,,,,,
,,25,50,52,,,,,,,,,,,
,,26,52,54,,,,,,,,,,,
,,27,54,56,,,,,,,,,,,
,,28,56,58,,,,,,,,,,,
,,29,58,60,,,,,,,,,,,
,,30,60,62,,,,,,,,,,,
,,31,62,63,,,,,,,,,,,
,,32,64,63,,,,,,,,,,,
,,33,64,63,,,,,,,,,,,
,,34,64,63,,,,,,,,,,,
,,35,64,63,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,17887,From 1 proc,,,,,,,,,,,,,
